data_seed,node_index,top_k,model_seed_a,model_seed_b,jaccard
2028,275,4,0,1,1.0
2028,275,4,0,2,1.0
2028,275,4,1,2,1.0
2028,275,6,0,1,1.0
2028,275,6,0,2,1.0
2028,275,6,1,2,1.0
2028,275,8,0,1,1.0
2028,275,8,0,2,1.0
2028,275,8,1,2,1.0
2028,412,2,0,1,1.0
2028,412,2,0,2,1.0
2028,412,2,1,2,1.0
2028,412,4,0,1,1.0
2028,412,4,0,2,1.0
2028,412,4,1,2,1.0
2028,412,6,0,1,1.0
2028,412,6,0,2,1.0
2028,412,6,1,2,1.0
2028,412,8,0,1,1.0
2028,412,8,0,2,1.0
2028,412,8,1,2,1.0
2028,507,2,0,1,1.0
2028,507,2,0,2,1.0
2028,507,2,1,2,1.0
2028,507,4,0,1,1.0
2028,507,4,0,2,1.0
2028,507,4,1,2,1.0
2028,507,6,0,1,1.0
2028,507,6,0,2,1.0
2028,507,6,1,2,1.0
2028,507,8,0,1,1.0
2028,507,8,0,2,1.0
2028,507,8,1,2,1.0
2028,123,2,0,1,1.0
2028,123,2,0,2,1.0
2028,123,2,1,2,1.0
2028,123,4,0,1,0.6
2028,123,4,0,2,0.6
2028,123,4,1,2,1.0
2028,123,6,0,1,1.0
2028,123,6,0,2,1.0
2028,123,6,1,2,1.0
2028,123,8,0,1,1.0
2028,123,8,0,2,1.0
2028,123,8,1,2,1.0
2029,534,2,0,1,1.0
2029,534,2,0,2,1.0
2029,534,2,1,2,1.0
2029,534,4,0,1,1.0
2029,534,4,0,2,1.0
2029,534,4,1,2,1.0
2029,534,6,0,1,1.0
2029,534,6,0,2,1.0
2029,534,6,1,2,1.0
2029,534,8,0,1,1.0
2029,534,8,0,2,1.0
2029,534,8,1,2,1.0
2029,33,2,0,1,1.0
2029,33,2,0,2,1.0
2029,33,2,1,2,1.0
2029,33,4,0,1,1.0
2029,33,4,0,2,1.0
2029,33,4,1,2,1.0
2029,33,6,0,1,1.0
2029,33,6,0,2,1.0
2029,33,6,1,2,1.0
2029,33,8,0,1,1.0
2029,33,8,0,2,1.0
2029,33,8,1,2,1.0
2029,211,2,0,1,1.0
2029,211,2,0,2,1.0
2029,211,2,1,2,1.0
2029,211,4,0,1,1.0
2029,211,4,0,2,1.0
2029,211,4,1,2,1.0
2029,211,6,0,1,1.0
2029,211,6,0,2,1.0
2029,211,6,1,2,1.0
2029,211,8,0,1,1.0
2029,211,8,0,2,1.0
2029,211,8,1,2,1.0
2029,427,2,0,1,0.3333333333333333
2029,427,2,0,2,0.3333333333333333
2029,427,2,1,2,1.0
2029,427,4,0,1,0.6
2029,427,4,0,2,0.6
2029,427,4,1,2,1.0
2029,427,6,0,1,0.7142857142857143
2029,427,6,0,2,0.7142857142857143
2029,427,6,1,2,1.0
2029,427,8,0,1,0.7777777777777778
2029,427,8,0,2,0.7777777777777778
2029,427,8,1,2,1.0
